seq,ship_name,date,date_raw,type,port_id,port_raw,port_inferred,notes
1,City of Norwich,1935-08-30,30/8,arrival,antwerp,Ant,FALSE,"black = arrival. Card headed 'No 5 (first side)', directly continuing IMG_5639's final entry (Dunkirk sailing, 29/8)"
2,City of Norwich,1935-08-30,30/8,sailing,antwerp,Ant,FALSE,"DUPLICATE - red, same port and date as seq 1"
3,City of Norwich,1935-08-31,31/8,transit,isle-of-wight,Iofw,FALSE,"black, written out in full as 'I of W' rather than the official 'I W' code"
4,City of Norwich,1935-09-02,2/9,arrival,liverpool,Liv,FALSE,black = arrival
5,City of Norwich,1935-09-14,14/9,sailing,liverpool,Liv,FALSE,red = sailing
6,City of Norwich,1935-09-16,16/9,transit,lizard,Liz,FALSE,"black, passed the Lizard"
7,City of Norwich,1935-09-18,18/9,unknown,,Mrro,FALSE,"UNCERTAIN - black, reads approximately 'Merro'. Doesn't match ports.csv or any Guildhall code. Genuinely unresolved"
8,City of Norwich,1935-09-27,27/9,note,,,FALSE,"UNCERTAIN/UNRESOLVED - red, a heavy overlapping scrawl that doesn't resolve into legible letters, possibly a struck-through/cancelled entry rather than a real port code (the pattern seen elsewhere on this ship's cards for voided entries). Also sits chronologically after seq 9/10 (22/9, 23/9) despite coming first in card position - flagging both the illegibility and the ordering"
9,City of Norwich,1935-09-22,22/9,transit,dunnet-head,Dunnet,FALSE,"black, passed Dunnet Head - the same tentative reading used on IMG_5636 (card spells it closer to 'Bunnut'/'Dunnat' there; clearer here)"
10,City of Norwich,1935-09-23,23/9,arrival,glasgow,Glas,FALSE,black = arrival
11,City of Norwich,1935-10-03,3/10,arrival,glasgow,Glas.,FALSE,black = arrival
12,City of Norwich,1935-10-03,3/10,arrival,liverpool,Liv,FALSE,"black = arrival, same date as seq 11's Glasgow - most likely one real call cited under both port names, the same pattern as the Barry/Newport pair on IMG_5639"
13,City of Norwich,1935-10-10,10/10,sailing,liverpool,Liv,FALSE,red = sailing
14,City of Norwich,1935-11-01,1/11,arrival,table-bay,Table,FALSE,black = arrival
15,City of Norwich,1935-11-04,4/11,sailing,table-bay,Table.,FALSE,red = sailing
16,City of Norwich,1935-11-05,5/11,arrival,mossel-bay,Mossel,FALSE,black = arrival
17,City of Norwich,1935-11-05,5/11,sailing,mossel-bay,Mossel.,FALSE,"red = sailing, same day as seq 16"
18,City of Norwich,1935-11-06,6/11,arrival,port-elizabeth,P.Eliz,FALSE,black = arrival
19,City of Norwich,1935-11-07,7/11,sailing,port-elizabeth,P.Eliz,FALSE,red = sailing
20,City of Norwich,1935-11-08,8/11,arrival,east-london,E.Lo,FALSE,black = arrival
