seq,ship_name,date,date_raw,type,port_id,port_raw,port_inferred,notes
1,City of Rangoon,1942-03-02,2/3,note,,,FALSE,"Red header note 'Left Table Bay 2/3' - marks the end of the month-long repair stop flagged at the close of IMG_5650. Blue header note 'Re damage - struck check' (possibly 'strut check') - a further inspection/damage note. Card labelled 'No 7 (second side)' - directly continues IMG_5650"
2,City of Rangoon,,,note,,,FALSE,"A run of blue citation-style entries follows rather than normal port calls: 'Mar 9/31', '19/11', '(Liv) 5/3', 'Apl 23/22', '(Lo) 22/4', 'No damage to government cargo', 'May 11/33', '10/5', 'abt 13' - these read as a sequence of inspection/Lloyd's Agent reports confirming no damage to cargo, rather than dated arrivals or sailings. Not resolved into discrete rows"
3,City of Rangoon,1942-05-11,11/5,arrival,durban,Durb Rds,FALSE,"black = arrival ('Durban Roads'), the first real port call after the Table Bay repair stop"
4,City of Rangoon,1942-05-18,18/5,sailing,durban,,TRUE,red = sailing
5,City of Rangoon,1942-05-19,19/5,arrival,lourenco-marques,L.M.,FALSE,black = arrival
6,City of Rangoon,1942-05-22,22/5,sailing,lourenco-marques,,TRUE,red = sailing
7,City of Rangoon,1942-05-24,24/5,arrival,beira,Beira,FALSE,black = arrival
8,City of Rangoon,1942-05-31,31/5,sailing,beira,,TRUE,red = sailing
9,City of Rangoon,1942-06-02,2/6,arrival,lourenco-marques,L.M.,FALSE,black = arrival
10,City of Rangoon,1942-06-13,13/6,arrival,port-elizabeth,P.Eliz,FALSE,"black = arrival, no sailing logged from Lourenco Marques first"
11,City of Rangoon,1942-06-17,17/6,sailing,port-elizabeth,,TRUE,red = sailing
12,City of Rangoon,1942-06-21,21/6,arrival,table-bay,Table,FALSE,black = arrival
13,City of Rangoon,,,note,,,FALSE,Blue note reading approximately 'Had tank/top leakage' - another leak issue noted at this Table Bay call
14,City of Rangoon,1942-06-30,30/6,sailing,table-bay,,TRUE,red = sailing
15,City of Rangoon,1942-07-05,5/7,arrival,freetown,Freet,FALSE,black = arrival
16,City of Rangoon,1942-07-25,25/7,sailing,freetown,,TRUE,red = sailing
17,City of Rangoon,1942-08-15,15/8,arrival,liverpool,Liv,FALSE,black = arrival
18,City of Rangoon,,15/6,note,,,FALSE,Blue parenthetical '(L.M) 15/6' - doesn't fit chronologically here; likely a citation cross-reference
19,City of Rangoon,1942-08-16,16/8,arrival,manchester,Mchr,FALSE,black = arrival
20,City of Rangoon,1942-09-22,22/9,sailing,manchester,,TRUE,red = sailing
21,City of Rangoon,1942-09-22,22/9,arrival,partington,Part,FALSE,"black = arrival, same day"
22,City of Rangoon,1942-09-24,24/9,sailing,eastham,Esthm,FALSE,red = sailing
23,City of Rangoon,1942-09-23,23/9,arrival,partington,Part,FALSE,"UNCERTAIN - black = arrival, but sits chronologically before (23/9) the Eastham sailing just above it (24/9) despite following it in card position. Kept as read rather than reordered, per the standard set on earlier cards' bracketed corrections - though no bracket is visible here"
