seq,ship_name,date,date_raw,type,port_id,port_raw,port_inferred,notes
1,City of Rangoon,1945-05-04,4/5,arrival,chittagong,Chitt,FALSE,"black = arrival. Card headed 'No.9 (first side)', 'Contd' - directly continues IMG_5653. New captain W.A.C. Hannah from 1.1.45 (per the footer, 'see sheet 328' - a cross-reference to a different physical record, not part of this scanned set)"
2,City of Rangoon,1945-05-08,8/5,arrival,sandheads,Sandh,FALSE,black = arrival
3,City of Rangoon,1945-05-10,10/5,arrival,calcutta,Cal,FALSE,black = arrival
4,City of Rangoon,1945-05-25,25/5,sailing,calcutta,,TRUE,red = sailing
5,City of Rangoon,1945-05-27,27/5,arrival,sandheads,Sandh,FALSE,black = arrival
6,City of Rangoon,1945-05-30,30/5,arrival,rangoon,Rng,FALSE,"black = arrival - the ship's namesake port"
7,City of Rangoon,1945-07-26,26/7,sailing,rangoon,,TRUE,"red = sailing. About two months docked at Rangoon, unexplained on this card. Captain change 18.8.45, W.E. Fletcher (replacing W.A.C. Hannah)"
8,City of Rangoon,1945-07-29,29/7,arrival,sandheads,Sandh,FALSE,black = arrival
9,City of Rangoon,1945-07-30,30/7,arrival,calcutta,Cal,FALSE,black = arrival
10,City of Rangoon,1945-08-16,16/8,note,,,FALSE,"Blue notes 'Repairing' and 'in pt 16/8' - a repair stop at Calcutta"
11,City of Rangoon,1945-08-20,-|-,arrival,calcutta,,TRUE,ditto mark - still at Calcutta
12,City of Rangoon,1945-09-01,-|-,arrival,calcutta,,TRUE,"ditto mark - still at Calcutta into September, 'in pt 8/10'"
13,City of Rangoon,1945-09-04,4/9,sailing,sandheads,Sandh,FALSE,red = sailing
14,City of Rangoon,1945-09-03,3/9,sailing,calcutta,Cal,FALSE,"UNCERTAIN ordering - red = sailing, dated 3/9, sitting after the Sandheads sailing (4/9) in card position despite the earlier date"
15,City of Rangoon,1945-09-04,4/9,arrival,rangoon,Rng,FALSE,"black = arrival, same day as the Sandheads/Calcutta sailings"
16,City of Rangoon,1945-10-12,-|-,arrival,rangoon,,TRUE,ditto mark - still at Rangoon
17,City of Rangoon,1945-10-12,12.10.45,note,,,FALSE,"MAJOR STATUS CHANGE - blue note reads 'Coal depot ship. L.S.9. 12.10.45.' The ship stops trading and becomes a coal depot (hulk), dated 12 Oct 1945. Everything that follows on this card is the ship sitting at one location rather than making voyages"
18,City of Rangoon,1945-11-15,in pt 15/11 – 2/5/46,note,,,FALSE,"Consolidated: a long, unbroken run of 'Sing[apore] -|-' ditto marks confirms the ship remained at Singapore as the coal depot ship named above, from November 1945 through at least May 1946. Citation dates visible: 15/11/45, 2/12/45, 31/12/45, 4/1/46, 24/1/46, 18/2/46, 14/3/46, 1/4/46, 22/4/46, 2/5/46. Not itemised as separate rows since each is just a 'still here' confirmation, not a new event. A '1947' year box appears afterward with no further entries logged"
19,City of Rangoon,1947-02-27,27.2.47,note,,,FALSE,"CARD ENDS - 'Deleted from L.S.9. 27.2.47.' The ship was struck from the register on this date. Footer note (ship-level, not a voyage event): 'Sold (28.8.46) [price partly illegible, reads approximately £1,3-0] To Be Renamed ""OSCAR III"". L.S.I. 14/10/46.' - City of Rangoon was sold 28 Aug 1946 and renamed Oscar III; no second side to this card, and no further City of Rangoon cards are expected in this collection under this name"
